"class_id","representative_index","representative","member_index","member","direction","class_size","dataset","specification"
14,18,"treatment_x_hispanic",18,"treatment_x_hispanic","representative",1,"CPS",1
15,19,"treatment_x_re74",19,"treatment_x_re74","representative",1,"CPS",1
16,20,"treatment_x_re75",20,"treatment_x_re75","representative",1,"CPS",1
17,21,"treatment_x_age_sq",21,"treatment_x_age_sq","representative",1,"CPS",1
18,23,"treatment_x_re74_sq",23,"treatment_x_re74_sq","representative",1,"CPS",1
19,24,"treatment_x_re75_sq",24,"treatment_x_re75_sq","representative",1,"CPS",1
1,1,"intercept",1,"intercept","representative",1,"CPS",2
2,2,"treatment",2,"treatment","representative",1,"CPS",2
3,3,"age",3,"age","representative",2,"CPS",2
3,3,"age",10,"age_sq","increasing",2,"CPS",2
4,4,"education",4,"education","representative",2,"CPS",2
4,4,"education",11,"education_sq","increasing",2,"CPS",2
5,5,"married",5,"married","representative",1,"CPS",2
6,6,"black",6,"black","representative",1,"CPS",2
7,7,"hispanic",7,"hispanic","representative",1,"CPS",2
8,8,"re74",8,"re74","representative",2,"CPS",2
8,8,"re74",12,"re74_sq","increasing",2,"CPS",2
9,9,"re75",9,"re75","representative",2,"CPS",2
9,9,"re75",13,"re75_sq","increasing",2,"CPS",2
10,14,"re74_zero",14,"re74_zero","representative",1,"CPS",2
11,15,"re75_zero",15,"re75_zero","representative",1,"CPS",2
12,16,"nodegree",16,"nodegree","representative",1,"CPS",2
13,17,"treatment_x_age",17,"treatment_x_age","representative",1,"CPS",2
14,18,"treatment_x_education",18,"treatment_x_education","representative",2,"CPS",2
14,18,"treatment_x_education",25,"treatment_x_education_sq","increasing",2,"CPS",2
15,19,"treatment_x_married",19,"treatment_x_married","representative",1,"CPS",2
16,20,"treatment_x_black",20,"treatment_x_black","representative",1,"CPS",2
17,21,"treatment_x_hispanic",21,"treatment_x_hispanic","representative",1,"CPS",2
18,22,"treatment_x_re74",22,"treatment_x_re74","representative",1,"CPS",2
19,23,"treatment_x_re75",23,"treatment_x_re75","representative",1,"CPS",2
20,24,"treatment_x_age_sq",24,"treatment_x_age_sq","representative",1,"CPS",2
21,26,"treatment_x_re74_sq",26,"treatment_x_re74_sq","representative",1,"CPS",2
22,27,"treatment_x_re75_sq",27,"treatment_x_re75_sq","representative",1,"CPS",2
23,28,"treatment_x_re74_zero",28,"treatment_x_re74_zero","representative",1,"CPS",2
24,29,"treatment_x_re75_zero",29,"treatment_x_re75_zero","representative",1,"CPS",2
25,30,"treatment_x_nodegree",30,"treatment_x_nodegree","representative",1,"CPS",2
